state,occ_type,occ_salary,geography
Florida,occ_370000,20880,state
Florida,occ_390000,20150,state
Florida,occ_410000,24320,state
Florida,occ_430000,29180,state
Florida,occ_450000,19000,state
Florida,occ_470000,33380,state
Florida,occ_490000,36620,state
Florida,occ_510000,28600,state
Florida,occ_530000,25610,state
Georgia,occ_110000,93700,state
Georgia,occ_130000,62200,state
Georgia,occ_150000,74960,state
Georgia,occ_170000,71050,state
Georgia,occ_190000,55700,state
Georgia,occ_210000,36900,state
Georgia,occ_230000,73270,state
Georgia,occ_250000,44830,state
Georgia,occ_270000,42280,state
Georgia,occ_290000,56310,state
Georgia,occ_310000,24030,state
Georgia,occ_330000,30500,state
Georgia,occ_350000,18320,state
Georgia,occ_370000,21130,state
Georgia,occ_390000,19420,state
Georgia,occ_410000,24010,state
Georgia,occ_430000,30350,state
Georgia,occ_450000,23060,state
Georgia,occ_470000,34350,state
Georgia,occ_490000,39110,state
Georgia,occ_510000,28030,state
Georgia,occ_530000,27770,state
Hawaii,occ_110000,75990,state
Hawaii,occ_130000,59310,state
Hawaii,occ_150000,69330,state
Hawaii,occ_170000,74400,state
Hawaii,occ_190000,59090,state
Hawaii,occ_210000,41840,state
Hawaii,occ_230000,73020,state
Hawaii,occ_250000,45410,state
Hawaii,occ_270000,40520,state
Hawaii,occ_290000,75600,state
Hawaii,occ_310000,30620,state
Hawaii,occ_330000,37490,state
Hawaii,occ_350000,22460,state
Hawaii,occ_370000,31010,state
Hawaii,occ_390000,23690,state
Hawaii,occ_410000,26250,state
Hawaii,occ_430000,34180,state
Hawaii,occ_450000,23350,state
Hawaii,occ_470000,60880,state
Hawaii,occ_490000,48610,state
Hawaii,occ_510000,31760,state
Hawaii,occ_530000,32720,state
Idaho,occ_110000,68480,state
Idaho,occ_130000,53530,state
Idaho,occ_150000,61090,state
Idaho,occ_170000,73070,state
Idaho,occ_190000,47500,state
Idaho,occ_210000,37950,state
Idaho,occ_230000,60510,state
Idaho,occ_250000,32420,state
Idaho,occ_270000,31550,state
Idaho,occ_290000,56510,state
Idaho,occ_310000,24380,state
Idaho,occ_330000,35970,state
Idaho,occ_350000,18390,state
Idaho,occ_370000,21940,state
Idaho,occ_390000,18820,state
Idaho,occ_410000,23660,state
Idaho,occ_430000,28350,state
Idaho,occ_450000,22630,state
Idaho,occ_470000,35750,state
Idaho,occ_490000,38030,state
Idaho,occ_510000,29350,state
Idaho,occ_530000,28740,state
Illinois,occ_110000,91310,state
Illinois,occ_130000,64780,state
Illinois,occ_150000,76680,state
Illinois,occ_170000,72260,state
Illinois,occ_190000,62020,state
Illinois,occ_210000,40940,state
Illinois,occ_230000,73760,state
Illinois,occ_250000,45930,state
Illinois,occ_270000,43870,state
Illinois,occ_290000,59790,state
Illinois,occ_310000,25220,state
Illinois,occ_330000,37910,state
Illinois,occ_350000,19140,state
Illinois,occ_370000,23920,state
Illinois,occ_390000,21660,state
Illinois,occ_410000,26000,state
Illinois,occ_430000,32470,state
Illinois,occ_450000,26800,state
Illinois,occ_470000,57800,state
Illinois,occ_490000,44690,state
Illinois,occ_510000,31740,state
Illinois,occ_530000,29280,state
Indiana,occ_110000,80300,state
Indiana,occ_130000,55740,state
Indiana,occ_150000,65210,state
Indiana,occ_170000,66150,state
Indiana,occ_190000,47450,state
Indiana,occ_210000,37690,state
Indiana,occ_230000,56090,state
Indiana,occ_250000,41160,state
Indiana,occ_270000,34540,state
Indiana,occ_290000,53370,state
Indiana,occ_310000,24340,state
Indiana,occ_330000,34480,state
Indiana,occ_350000,18460,state
Indiana,occ_370000,22120,state
Indiana,occ_390000,19450,state
