cbsa,occ_type,occ_salary,cbsa_name,geography
10780,occ_470000,33860,"Alexandria, LA",metro
10780,occ_490000,35510,"Alexandria, LA",metro
10780,occ_510000,29890,"Alexandria, LA",metro
10780,occ_530000,24830,"Alexandria, LA",metro
10900,occ_110000,94500,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_130000,59700,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_150000,70520,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_170000,72240,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_190000,60310,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_210000,41820,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_230000,68250,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_250000,53990,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_270000,45550,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_290000,60010,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_310000,27470,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_330000,33910,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_350000,19710,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_370000,24080,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_390000,21420,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_410000,24730,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_430000,31180,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_450000,25920,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_470000,41550,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_490000,42440,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_510000,33890,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_530000,31960,"Allentown-Bethlehem-Easton, PA-NJ",metro
11020,occ_110000,82660,"Altoona, PA",metro
11020,occ_130000,51000,"Altoona, PA",metro
11020,occ_150000,50250,"Altoona, PA",metro
11020,occ_170000,59210,"Altoona, PA",metro
11020,occ_190000,58520,"Altoona, PA",metro
11020,occ_210000,37310,"Altoona, PA",metro
11020,occ_230000,45010,"Altoona, PA",metro
11020,occ_250000,42190,"Altoona, PA",metro
11020,occ_270000,28550,"Altoona, PA",metro
11020,occ_290000,54280,"Altoona, PA",metro
11020,occ_310000,25890,"Altoona, PA",metro
11020,occ_330000,27020,"Altoona, PA",metro
11020,occ_350000,18710,"Altoona, PA",metro
11020,occ_370000,23150,"Altoona, PA",metro
11020,occ_390000,19090,"Altoona, PA",metro
11020,occ_410000,21470,"Altoona, PA",metro
11020,occ_430000,26820,"Altoona, PA",metro
11020,occ_470000,34700,"Altoona, PA",metro
11020,occ_490000,35060,"Altoona, PA",metro
11020,occ_510000,31270,"Altoona, PA",metro
11020,occ_530000,27060,"Altoona, PA",metro
11100,occ_110000,79920,"Amarillo, TX",metro
11100,occ_130000,57350,"Amarillo, TX",metro
11100,occ_150000,64430,"Amarillo, TX",metro
11100,occ_170000,70600,"Amarillo, TX",metro
11100,occ_190000,49220,"Amarillo, TX",metro
11100,occ_210000,38810,"Amarillo, TX",metro
11100,occ_230000,61310,"Amarillo, TX",metro
11100,occ_250000,45070,"Amarillo, TX",metro
11100,occ_270000,37620,"Amarillo, TX",metro
11100,occ_290000,51400,"Amarillo, TX",metro
11100,occ_310000,24550,"Amarillo, TX",metro
11100,occ_330000,41820,"Amarillo, TX",metro
11100,occ_350000,18240,"Amarillo, TX",metro
11100,occ_370000,19710,"Amarillo, TX",metro
11100,occ_390000,18470,"Amarillo, TX",metro
11100,occ_410000,21860,"Amarillo, TX",metro
11100,occ_430000,27780,"Amarillo, TX",metro
11100,occ_450000,22610,"Amarillo, TX",metro
11100,occ_470000,34060,"Amarillo, TX",metro
11100,occ_490000,35750,"Amarillo, TX",metro
11100,occ_510000,29710,"Amarillo, TX",metro
11100,occ_530000,27550,"Amarillo, TX",metro
11180,occ_110000,81510,"Ames, IA",metro
11180,occ_130000,56270,"Ames, IA",metro
11180,occ_150000,62930,"Ames, IA",metro
11180,occ_170000,66050,"Ames, IA",metro
11180,occ_190000,51550,"Ames, IA",metro
11180,occ_210000,32300,"Ames, IA",metro
11180,occ_230000,55840,"Ames, IA",metro
11180,occ_250000,56610,"Ames, IA",metro
11180,occ_270000,42130,"Ames, IA",metro
11180,occ_290000,53410,"Ames, IA",metro
11180,occ_310000,28020,"Ames, IA",metro
11180,occ_330000,47250,"Ames, IA",metro
11180,occ_350000,18510,"Ames, IA",metro
11180,occ_370000,24420,"Ames, IA",metro
11180,occ_390000,20040,"Ames, IA",metro
11180,occ_410000,22300,"Ames, IA",metro
11180,occ_430000,31970,"Ames, IA",metro
11180,occ_450000,36490,"Ames, IA",metro
11180,occ_470000,38960,"Ames, IA",metro
11180,occ_490000,42910,"Ames, IA",metro
11180,occ_510000,33040,"Ames, IA",metro
11180,occ_530000,26070,"Ames, IA",metro
11260,occ_110000,95860,"Anchorage, AK",metro
11260,occ_130000,69570,"Anchorage, AK",metro
11260,occ_150000,71040,"Anchorage, AK",metro
11260,occ_170000,90840,"Anchorage, AK",metro
11260,occ_190000,69840,"Anchorage, AK",metro
11260,occ_210000,46510,"Anchorage, AK",metro
11260,occ_230000,86790,"Anchorage, AK",metro
11260,occ_250000,50930,"Anchorage, AK",metro
11260,occ_270000,44510,"Anchorage, AK",metro
11260,occ_290000,77210,"Anchorage, AK",metro
11260,occ_310000,34040,"Anchorage, AK",metro
11260,occ_330000,42610,"Anchorage, AK",metro
11260,occ_350000,21670,"Anchorage, AK",metro
11260,occ_370000,26730,"Anchorage, AK",metro
11260,occ_390000,27740,"Anchorage, AK",metro
11260,occ_410000,28080,"Anchorage, AK",metro
11260,occ_430000,37900,"Anchorage, AK",metro
11260,occ_450000,20250,"Anchorage, AK",metro
11260,occ_470000,62270,"Anchorage, AK",metro
11260,occ_490000,55300,"Anchorage, AK",metro
11260,occ_510000,39830,"Anchorage, AK",metro
11260,occ_530000,40240,"Anchorage, AK",metro
11300,occ_110000,74110,"Anderson, IN",metro
11300,occ_130000,51040,"Anderson, IN",metro
11300,occ_150000,57490,"Anderson, IN",metro
11300,occ_170000,68560,"Anderson, IN",metro
11300,occ_190000,47770,"Anderson, IN",metro
11300,occ_210000,34220,"Anderson, IN",metro
11300,occ_230000,46350,"Anderson, IN",metro
11300,occ_250000,33940,"Anderson, IN",metro
11300,occ_270000,31230,"Anderson, IN",metro
11300,occ_290000,52360,"Anderson, IN",metro
11300,occ_310000,22470,"Anderson, IN",metro
11300,occ_330000,33910,"Anderson, IN",metro
11300,occ_350000,18180,"Anderson, IN",metro
11300,occ_370000,21530,"Anderson, IN",metro
11300,occ_390000,18870,"Anderson, IN",metro
11300,occ_410000,20360,"Anderson, IN",metro
11300,occ_430000,28110,"Anderson, IN",metro
11300,occ_470000,35710,"Anderson, IN",metro
11300,occ_490000,37300,"Anderson, IN",metro
11300,occ_510000,30170,"Anderson, IN",metro
11300,occ_530000,28280,"Anderson, IN",metro
11340,occ_110000,74170,"Anderson, SC",metro
11340,occ_130000,47300,"Anderson, SC",metro
11340,occ_150000,53630,"Anderson, SC",metro
11340,occ_170000,61720,"Anderson, SC",metro
11340,occ_190000,53300,"Anderson, SC",metro
11340,occ_210000,37600,"Anderson, SC",metro
11340,occ_230000,50940,"Anderson, SC",metro
11340,occ_250000,44390,"Anderson, SC",metro
