census_id,occ_type,occ_salary,geography
11180,occ_410000,22300,Metro
11180,occ_430000,31970,Metro
11180,occ_450000,36490,Metro
11180,occ_470000,38960,Metro
11180,occ_490000,42910,Metro
11180,occ_510000,33040,Metro
11180,occ_530000,26070,Metro
11260,occ_110000,95860,Metro
11260,occ_130000,69570,Metro
11260,occ_150000,71040,Metro
11260,occ_170000,90840,Metro
11260,occ_190000,69840,Metro
11260,occ_210000,46510,Metro
11260,occ_230000,86790,Metro
11260,occ_250000,50930,Metro
11260,occ_270000,44510,Metro
11260,occ_290000,77210,Metro
11260,occ_310000,34040,Metro
11260,occ_330000,42610,Metro
11260,occ_350000,21670,Metro
11260,occ_370000,26730,Metro
11260,occ_390000,27740,Metro
11260,occ_410000,28080,Metro
11260,occ_430000,37900,Metro
11260,occ_450000,20250,Metro
11260,occ_470000,62270,Metro
11260,occ_490000,55300,Metro
11260,occ_510000,39830,Metro
11260,occ_530000,40240,Metro
11300,occ_110000,74110,Metro
11300,occ_130000,51040,Metro
11300,occ_150000,57490,Metro
11300,occ_170000,68560,Metro
11300,occ_190000,47770,Metro
11300,occ_210000,34220,Metro
11300,occ_230000,46350,Metro
11300,occ_250000,33940,Metro
11300,occ_270000,31230,Metro
11300,occ_290000,52360,Metro
11300,occ_310000,22470,Metro
11300,occ_330000,33910,Metro
11300,occ_350000,18180,Metro
11300,occ_370000,21530,Metro
11300,occ_390000,18870,Metro
11300,occ_410000,20360,Metro
11300,occ_430000,28110,Metro
11300,occ_470000,35710,Metro
11300,occ_490000,37300,Metro
11300,occ_510000,30170,Metro
11300,occ_530000,28280,Metro
11340,occ_110000,74170,Metro
11340,occ_130000,47300,Metro
11340,occ_150000,53630,Metro
11340,occ_170000,61720,Metro
11340,occ_190000,53300,Metro
11340,occ_210000,37600,Metro
11340,occ_230000,50940,Metro
11340,occ_250000,44390,Metro
11340,occ_270000,35020,Metro
11340,occ_290000,50880,Metro
11340,occ_310000,22470,Metro
11340,occ_330000,28640,Metro
11340,occ_350000,18200,Metro
11340,occ_370000,20310,Metro
11340,occ_390000,19300,Metro
11340,occ_410000,21610,Metro
11340,occ_430000,27110,Metro
11340,occ_450000,25880,Metro
11340,occ_470000,32170,Metro
11340,occ_490000,36150,Metro
11340,occ_510000,31790,Metro
11340,occ_530000,26310,Metro
